material_system,plot_x_hr,has_blue_marker,overpotential_corrected_avg
InMnPdOx,11.5,False,0.4104013474715626
InMnPdOx,23.5,False,0.4160189012943946
InMnPdOx,35.5,False,0.41393012499553
InMnPdOx,47.5,False,0.4202074641227357
InMnPdOx,59.5,False,0.42321630575047
InMnPdOx,71.5,False,0.4259065834052781
InMnPdOx,83.5,False,0.4116428655153306
InMnPdOx,95.5,False,0.4338019994928763
InMnPdOx,107.5,False,0.4353697955485811
InMnPdOx,119.5,False,0.436450298824372
InMnPdOx,131.5,False,0.4443831260268198
InMnPdOx,143.5,False,0.4453945225718246
InMnPdOx,155.5,False,0.4463887480614721
InMnPdOx,167.5,True,0.4435549388534665
InMnPdOx,179.5,False,0.4217742185892321
InMnPdOx,191.5,False,0.4245325907328348
InMnPdOx,203.5,False,0.4229960228004831
InMnPdOx,215.5,False,0.4229777746249837
InMnPdOx,227.5,False,0.425331197729991
InMnPdOx,239.5,False,0.4260279133549299
InMnPdOx,251.5,False,0.42744832510654
InMnPdOx,263.5,False,0.4299827026892069
InMnPdOx,275.5,False,0.4278529395417589
InMnPdOx,287.5,False,0.4323047297664384
InMnPdOx,299.5,False,0.4387731932525467
InMnPdOx,311.5,False,0.4387442171002204
InMnPdOx,323.5,False,0.4414497922863318
InMnPdOx,335.5,False,0.4395195465734092
InMnPdOx,347.5,False,0.4396106396966502
InMnPdOx,359.5,False,0.4354994251281562
InMnPdOx,371.5,False,0.4432794623833748
InMnPdOx,383.5,False,0.4455125293508563
InMnPdOx,395.5,False,0.4511824057745542
InMnPdOx,407.5,False,0.4481215707257976
InMnPdOx,419.5,False,0.4497488498301499
InMnPdOx,431.5,False,0.4535383807534435
InMnPdOx,443.5,False,0.4580838599668952
InMnPdOx,455.5,False,0.4641622415114732
InMnPdOx,467.5,False,0.4688759635990435
InMnPdOx,479.5,False,0.4709653809996972
InMnPdOx,491.5,False,0.4740349293395997
InMnPdOx,503.5,False,0.4684473543020985
InMnPdOx,515.5,False,0.4744212880331244
InMnPdOx,527.5,False,0.4675702880617584
InMnPdOx,539.5,False,0.4791844107601445
InMnPdOx,551.5,False,0.4708061225080749
InMnPdOx,563.5,False,0.4687622725520256
InMnPdOx,575.5,False,0.5055335381876659
InMnPdOx,587.5,False,0.4862380427794791
InMnPdOx,599.5,False,0.4741054982010278
InMnPdOx,611.5,False,0.4777776706970506
InMnPdOx,623.5,False,0.4771967394415303
InMnPdOx,635.5,False,0.4805830348119417
InMnPdOx,647.5,False,0.4954045784114431
InMnPdOx,659.5,True,0.4852868853343082
InMnPdOx,671.5,False,0.4632902974140432
InMnPdOx,683.5,False,0.4639926373231186
InMnPdOx,695.5,False,0.4642202036289636
InMnPdOx,707.5,False,0.4615947905750969
InMnPdOx,719.5,False,0.459372333791518
InMnPdOx,731.5,False,0.4595363386965682
InMnPdOx,743.5,False,0.4606045302176052
InMnPdOx,755.5,False,0.4584777853470817
InMnPdOx,767.5,False,0.4620094032811451
InMnPdOx,779.5,False,0.4660504911050641
InMnPdOx,791.5,False,0.4670849150815418
InMnPdOx,803.5,False,0.4699193203762828
InMnPdOx,815.5,False,0.4725171292235682
InMnPdOx,827.5,False,0.4659561918727848
InMnPdOx,839.5,False,0.46878609445053
InMnPdOx,851.5,False,0.4697122319993099
InMnPdOx,863.5,False,0.4722407763407606
InMnPdOx,875.5,False,0.4728406131547051
InMnPdOx,887.5,False,0.4745922909825409
InMnPdOx,899.5,False,0.4740877676997226
InMnPdOx,911.5,False,0.4763720484246105
InMnPdOx,923.5,False,0.4771274612384617
InMnPdOx,935.5,False,0.478732753462048
InMnPdOx,947.5,False,0.4834577799032295
InMnPdOx,959.5,False,0.4841347374726139
InMnPdOx,971.5,False,0.4846575960141846
InMnPdOx,983.5,False,0.4866618110358899
InMnPdOx,995.5,False,0.4848290485189768
InMnPdOx,999.5694444444443,False,0.473535752087773
NiTaPdOx,11.5,False,0.4613538423517772
NiTaPdOx,23.5,False,0.4451621503752853
NiTaPdOx,35.5,False,0.4566445007564834
NiTaPdOx,47.5,False,0.4574860802009575
NiTaPdOx,59.5,False,0.4550239837909434
NiTaPdOx,71.5,False,0.458970271139851
NiTaPdOx,83.5,False,0.460647641130504
NiTaPdOx,95.5,False,0.4541367346416725
NiTaPdOx,107.5,False,0.4612731907543905
NiTaPdOx,119.5,False,0.4591086538582857
NiTaPdOx,131.5,False,0.4630763875289957
NiTaPdOx,143.5,False,0.4646800671630198
NiTaPdOx,155.5,False,0.4657954951792264
NiTaPdOx,167.5,False,0.464958975800168
NiTaPdOx,179.5,False,0.4703094648670294
NiTaPdOx,191.5,False,0.4684017582257956
NiTaPdOx,203.5,False,0.4771538011381892
NiTaPdOx,215.5,False,0.4801291577660817
NiTaPdOx,227.5,False,0.483468371922122
NiTaPdOx,239.5,True,0.4853006554967922
NiTaPdOx,251.5,False,0.4740718500517787
NiTaPdOx,263.5,False,0.4696958316136352
NiTaPdOx,275.5,False,0.4695452538848772
NiTaPdOx,287.5,False,0.4692042668345972
NiTaPdOx,299.5,False,0.4715257868165574
NiTaPdOx,311.5,False,0.4698889974320913
NiTaPdOx,323.5,False,0.4750813260020766
NiTaPdOx,335.5,False,0.4732703867540091
NiTaPdOx,347.5,False,0.4761687930971977
NiTaPdOx,359.5,False,0.4809868198891184
NiTaPdOx,371.5,False,0.483533584936964
NiTaPdOx,383.5,False,0.4881193072986702
NiTaPdOx,395.5,False,0.4906717139484839
NiTaPdOx,407.5,False,0.4842686316505608
NiTaPdOx,419.5,False,0.4910717114238472
NiTaPdOx,431.5,False,0.4917900374304243
NiTaPdOx,443.5,False,0.4960166333929321
NiTaPdOx,455.5,False,0.4972965890417543
NiTaPdOx,467.5,False,0.5022451594877119
NiTaPdOx,479.5,False,0.5018012380501823
NiTaPdOx,491.5,False,0.5162405191490518
NiTaPdOx,503.5,False,0.5165368636722271
NiTaPdOx,515.5,False,0.5283413674803839
NiTaPdOx,527.5,False,0.5415424580858187
NiTaPdOx,539.5,False,0.5539709428144463
