sample,two_theta,intensity
InMnPdOx_pre,16.07,5.817
InMnPdOx_pre,16.08,5.945
InMnPdOx_pre,16.09,5.735
InMnPdOx_pre,16.1,5.527
InMnPdOx_pre,16.11,5.344
InMnPdOx_pre,16.12,5.065
InMnPdOx_pre,16.13,4.897
InMnPdOx_pre,16.14,4.827
InMnPdOx_pre,16.15,5.158
InMnPdOx_pre,16.16,5.438
InMnPdOx_pre,16.17,5.584
InMnPdOx_pre,16.18,5.375
InMnPdOx_pre,16.19,4.986
InMnPdOx_pre,16.2,4.69
InMnPdOx_pre,16.21,4.587
InMnPdOx_pre,16.22,4.678
InMnPdOx_pre,16.23,4.755
InMnPdOx_pre,16.24,4.752
InMnPdOx_pre,16.25,4.829
InMnPdOx_pre,16.26,4.739
InMnPdOx_pre,16.27,4.536
InMnPdOx_pre,16.28,4.438
InMnPdOx_pre,16.29,4.593
InMnPdOx_pre,16.3,4.662
InMnPdOx_pre,16.31,4.699
InMnPdOx_pre,16.32,4.618
InMnPdOx_pre,16.33,4.673
InMnPdOx_pre,16.34,4.58
InMnPdOx_pre,16.35,4.81
InMnPdOx_pre,16.36,4.895
InMnPdOx_pre,16.37,5.072
InMnPdOx_pre,16.38,4.848
InMnPdOx_pre,16.39,4.724
InMnPdOx_pre,16.4,4.513
InMnPdOx_pre,16.41,4.668
InMnPdOx_pre,16.42,4.63
InMnPdOx_pre,16.43,4.599
InMnPdOx_pre,16.44,4.681
InMnPdOx_pre,16.45,4.932
InMnPdOx_pre,16.46,5.134
InMnPdOx_pre,16.47,5.062
InMnPdOx_pre,16.48,4.925
InMnPdOx_pre,16.49,4.636
InMnPdOx_pre,16.5,4.587
InMnPdOx_pre,16.51,4.736
InMnPdOx_pre,16.52,4.76
InMnPdOx_pre,16.53,4.697
InMnPdOx_pre,16.54,4.705
InMnPdOx_pre,16.55,4.667
InMnPdOx_pre,16.56,4.572
InMnPdOx_pre,16.57,4.607
InMnPdOx_pre,16.58,4.563
InMnPdOx_pre,16.59,4.468
InMnPdOx_pre,16.6,4.382
InMnPdOx_pre,16.61,4.531
InMnPdOx_pre,16.62,4.586
InMnPdOx_pre,16.63,4.589
InMnPdOx_pre,16.64,4.517
InMnPdOx_pre,16.65,4.68
InMnPdOx_pre,16.66,4.761
InMnPdOx_pre,16.67,4.845
InMnPdOx_pre,16.68,4.834
InMnPdOx_pre,16.69,4.887
