repeat,step,material_system,composition,anneal_T_C,actual_overpotential_V,actual_molar_change,hypervolume,n_remaining,posterior,is_target
1,1,Cr-Sb-V-O,"{""Cr"": 0.17709160401394688, ""Sb"": 0.03748912468840394, ""V"": 0.7854192712976492}",550,0.93479,0.262847,1.74329,2287,0.5,False
1,2,Mn-Pd-Zn-O,"{""Mn"": 0.030963692468232024, ""Pd"": 0.7418484037406559, ""Zn"": 0.22718790379111203}",550,0.595813,0.152457,2.508446,2286,0.5,False
1,3,Ag-Ge-Hf-O,"{""Ag"": 0.3050929821814964, ""Ge"": 0.4518108676807637, ""Hf"": 0.24309615013773986}",550,0.877736,0.283928,2.508446,2285,0.5,False
1,4,Al-Cu-Mo-O,"{'Al': 0.8046885549837757, 'Cu': 0.16539696800913126, 'Mo': 0.02991447700709323}",700,1.176629,0.008371,2.508446,2284,0.5,False
1,5,Co-Fe-Zr-O,"{""Co"": 0.8018703801169523, ""Fe"": 0.11821826135892122, ""Zr"": 0.07991135852412652}",550,0.679293,0.141847,2.509201,2283,0.5,False
1,6,Ag-Pb-W-O,"{'Pb': 0.01448, 'W': 0.01292, 'Ag': 0.97259}",0,0.721207,4.595334,2.509201,2282,0.416667,False
1,7,Co-In-Si-O,"{""Co"": 0.7617733124464198, ""In"": 0.23822668755358023}",550,0.797108,0.083522,2.509201,2281,0.416667,False
1,8,Bi-Co-Mo-O,"{'Bi': 0.48584, 'Mo': 0.42966, 'Co': 0.0845}",550,0.918889,0.766835,2.509201,2280,0.3125,False
1,9,Ge-In-Zr-O,"{""Ge"": 0.04891703165441759, ""In"": 0.055296174142146215, ""Zr"": 0.8957867942034362}",550,1.304403,-0.022881,2.509201,2279,0.3125,False
1,10,Fe-Sb-W-O,"{""Fe"": 0.9870133635849067, ""Sb"": 0.012986636415093426, ""W"": 0.0}",550,0.981499,0.013963,2.509201,2278,0.3125,False
1,11,Co-Mn-Ti-O,"{'Co': 0.29958, 'Mn': 0.0857, 'Ti': 0.61473}",550,1.042998,-0.108184,2.509201,2277,0.277778,False
1,12,In-Mn-Pd-O,"{""In"": 0.2751377635220254, ""Mn"": 0.15466258695960994, ""Pd"": 0.5701996495183647}",550,0.74366,0.086365,2.50958,2276,0.238095,False
1,13,Cr-Sb-V-O,"{""Cr"": 0.6052519311913049, ""Sb"": 0.2851284638433104, ""V"": 0.10961960496538474}",550,0.991734,0.271475,2.50958,2275,0.227273,False
1,14,Al-Cu-Mo-O,"{'Al': 0.17549, 'Cu': 0.04471, 'Mo': 0.7798}",550,0.922653,0.08759,2.50958,2274,0.227273,False
1,15,Ag-Ge-Hf-O,"{""Ag"": 0.5664071649341534, ""Ge"": 0.3629017861302668, ""Hf"": 0.07069104893557973}",550,0.835272,0.323715,2.50958,2273,0.208333,False
1,16,Al-Bi-Co-O,"{'Al': 0.06647, 'Co': 0.12172, 'Bi': 0.81181}",700,10.712135,0.053439,2.50958,2272,0.2,False
1,17,Ag-Pb-W-O,"{'Ag': 0.82658, 'Pb': 0.07894, 'W': 0.09448}",0,0.735488,5.27383,2.50958,2271,0.192308,False
1,18,Mn-Pd-Zn-O,"{""Mn"": 0.25137839327036443, ""Pd"": 0.6701247912292412, ""Zn"": 0.07849681550039449}",550,0.790764,0.119208,2.50958,2270,0.185185,False
1,19,Co-Hf-Zr-O,"{""Co"": 0.8373369739746543, ""Hf"": 0.12618943132263527, ""Zr"": 0.0364735947027104}",550,0.638224,0.127863,2.51149,2269,0.172414,False
1,20,Fe-Sb-W-O,"{""Fe"": 0.9906945822095533, ""Sb"": 0.00930541779044675, ""W"": 0.0}",550,0.852106,0.013794,2.51149,2268,0.166667,False
1,21,Ge-In-Zr-O,"{""Ge"": 0.1200085709358178, ""In"": 0.04608136564061053, ""Zr"": 0.8339100634235717}",0,2.029601,0.012206,2.51149,2267,0.15625,False
1,22,Cr-Sb-V-O,"{""Cr"": 0.17012771937160537, ""Sb"": 0.6814042528158016, ""V"": 0.14846802781259302}",550,1.04116,-0.001594,2.51149,2266,0.147059,False
1,23,Al-Cu-Mo-O,"{'Al': 0.7243974788956825, 'Cu': 0.21011711663988522, 'Mo': 0.06548540446443225}",700,0.974694,0.054847,2.51149,2265,0.147059,False
1,24,Co-In-Si-O,"{""Co"": 0.13047479003887047, ""In"": 0.8695252099611296}",550,0.979049,0.304859,2.51149,2264,0.138889,False
1,25,Mn-Pd-Zn-O,"{""Mn"": 0.022538290833470104, ""Pd"": 0.9385379124276367, ""Zn"": 0.0389237967388931}",0,0.498219,0.420031,3.078783,2263,0.135135,False
1,26,Ag-Pb-W-O,"{'Ag': 0.78432, 'Pb': 0.11024, 'W': 0.10545}",0,0.755063,5.028603,3.078783,2262,0.131579,False
1,27,Bi-Co-Sb-O,"{'Sb': 0.001681396044127437, 'Bi': 0.9894158055110208, 'Co': 0.008902798444851708}",0,10.743594,0.9218,3.078783,2261,0.125,False
1,28,Ag-Ge-Hf-O,"{""Ag"": 0.8817307985679647, ""Ge"": 0.0688672848379044, ""Hf"": 0.04940191659413093}",550,0.852746,0.587534,3.078783,2260,0.119048,False
1,29,Co-Mn-Ti-O,"{'Co': 0.42867, 'Mn': 0.10219, 'Ti': 0.46914}",550,1.051797,0.017114,3.078783,2259,0.119048,False
1,30,Al-Cu-Mo-O,"{'Al': 0.09946, 'Cu': 0.8446, 'Mo': 0.05594}",700,10.733297,0.033361,3.078783,2258,0.113636,False
1,31,Fe-Sb-W-O,"{""Fe"": 0.031500662104431344, ""Sb"": 0.0006145557702103202, ""W"": 0.9678847821253583}",550,0.997645,0.037243,3.078783,2257,0.108696,False
1,32,Ge-In-Zr-O,"{""Ge"": 0.8970973568123429, ""In"": 0.0592672205155426, ""Zr"": 0.04363542267211461}",0,0.996152,0.944476,3.078783,2256,0.108696,False
1,33,Co-Mo-Pd-O,"{""Co"": 0.46712440970511276, ""Mo"": 0.43257261908818323, ""Pd"": 0.10030297120670405}",550,0.913474,0.19805,3.078783,2255,0.106383,False
1,34,Cr-Sb-V-O,"{""Cr"": 0.8778116766072086, ""Sb"": 0.0639923724290166, ""V"": 0.05819595096377494}",550,1.045843,0.46884,3.078783,2254,0.104167,False
1,35,Mn-Pd-Zn-O,"{""Mn"": 0.24500564403099445, ""Pd"": 0.5348248424211384, ""Zn"": 0.22016951354786715}",0,0.66287,0.329632,3.078783,2253,0.098039,False
1,36,Ag-Pb-W-O,"{'Pb': 0.706, 'W': 0.0193, 'Ag': 0.27471}",0,0.946989,0.60562,3.078783,2252,0.096154,False
1,37,Al-Bi-Co-O,"{'Al': 0.72113, 'Co': 0.16508, 'Bi': 0.1138}",700,1.157003,0.001218,3.078783,2251,0.096154,False
1,38,Co-Hf-Zr-O,"{""Co"": 0.6502290941944644, ""Hf"": 0.15214844225985744, ""Zr"": 0.1976224635456782}",400,0.685995,0.131136,3.078783,2250,0.090909,False
1,39,In-Mn-Pd-O,"{""In"": 0.17840931338889668, ""Mn"": 0.532916768531654, ""Pd"": 0.2886739180794493}",550,0.604958,0.100223,3.083435,2249,0.089286,False
1,40,Ag-Ge-Hf-O,"{""Ag"": 0.5707439785661409, ""Ge"": 0.14164910790841984, ""Hf"": 0.28760691352543927}",550,0.862892,0.204631,3.083435,2248,0.086207,False
1,41,Al-Cu-Mo-O,"{'Al': 0.19155, 'Cu': 0.06506, 'Mo': 0.74339}",550,0.924533,0.058649,3.083435,2247,0.086207,False
1,42,Cr-Sb-V-O,"{""Cr"": 0.4633498649411894, ""Sb"": 0.03127200721986554, ""V"": 0.505378127838945}",550,0.99986,0.047348,3.083435,2246,0.086207,False
1,43,Co-Fe-Zr-O,"{""Co"": 0.14401301603621566, ""Fe"": 0.07615658830290037, ""Zr"": 0.7798303956608839}",550,1.302123,0.064264,3.083435,2245,0.083333,False
1,44,Co-In-Si-O,"{""Co"": 0.41265182429806424, ""In"": 0.5873481757019358}",550,6.61574,0.005153,3.083435,2244,0.080645,False
1,45,Fe-Sb-W-O,"{""Fe"": 0.10812047158518415, ""Sb"": 0.010708048010886609, ""W"": 0.8811714804039292}",550,0.980521,0.019577,3.083435,2243,0.078125,False
1,46,Mn-Pd-Zn-O,"{""Mn"": 0.12191636134213082, ""Pd"": 0.15293234108304293, ""Zn"": 0.7251512975748262}",550,0.920977,0.654049,3.083435,2242,0.075758,False
1,47,Ge-In-Zr-O,"{""Ge"": 0.2654144551378386, ""In"": 0.3114069132962975, ""Zr"": 0.4231786315658639}",550,1.190178,0.102458,3.083435,2241,0.075758,False
1,48,Ag-Pb-W-O,"{'Pb': 0.03324, 'W': 0.78916, 'Ag': 0.1776}",0,10.603323,0.543147,3.083435,2240,0.075758,False
1,49,Bi-Co-Mo-O,"{'Bi': 0.86654, 'Mo': 0.04046, 'Co': 0.093}",550,0.807925,1.857925,3.083435,2239,0.073529,False
1,50,Co-Mn-Ti-O,"{'Co': 0.69648, 'Mn': 0.04151, 'Ti': 0.26201}",550,0.786523,0.039716,3.083435,2238,0.071429,False
2,1,Mn-Pd-Zn-O,"{""Mn"": 0.05641840501494038, ""Pd"": 0.3288560546278727, ""Zn"": 0.614725540357187}",550,0.591823,0.544183,2.476882,2287,0.5,False
2,2,Al-Cu-Mo-O,"{'Al': 0.04351, 'Cu': 0.01847, 'Mo': 0.93802}",550,0.945614,0.12888,2.476882,2286,0.5,False
2,3,Bi-Co-Sb-O,"{'Sb': 0.01383, 'Bi': 0.24333, 'Co': 0.74285}",0,0.925537,0.473255,2.476882,2285,0.5,False
2,4,Ge-In-Zr-O,"{""Ge"": 0.09045978146658289, ""In"": 0.035155335547715716, ""Zr"": 0.8743848829857015}",0,1.783471,0.033872,2.476882,2284,0.5,False
