repeat,step,material_system,composition,anneal_T_C,predicted_overpotential_V,actual_overpotential_V,predicted_molar_change,actual_molar_change,hypervolume
1,1,Co-In-Si-O,"{""Co"": 0.4169115551184158, ""In"": 0.5830884448815842}",0,3.403327,1.107384,0.016999,0.113286,1.74329
1,2,Fe-Sb-W-O,"{""Fe"": 0.053281706630836645, ""Sb"": 0.0030477721923588526, ""W"": 0.9436705211768045}",550,1.734019,1.027596,0.061384,-0.024967,1.74329
1,3,Bi-Ni-Zr-O,"{""Bi"": 0.799487266475573, ""Ni"": 0.16984006981189786, ""Zr"": 0.030672663712529222}",550,2.048507,1.718231,0.021274,0.026602,1.74329
1,4,Mn-Nb-Sb-O,"{""Mn"": 0.4571303249755999, ""Nb"": 0.5372933543813965, ""Sb"": 0.005576320643003576}",550,2.015104,1.079744,0.011415,0.100406,1.74329
1,5,Ni-Pd-Ta-O,"{""Ni"": 0.17250256341319753, ""Pd"": 0.7453462175669912, ""Ta"": 0.08215121901981129}",550,2.131452,0.553072,0.029133,0.029141,2.792671
1,6,Fe-In-Ni-O,"{""Fe"": 0.25174255451010236, ""In"": 0.5751397247339671, ""Ni"": 0.17311772075593046}",600,1.476604,0.975379,0.046874,0.361937,2.792671
1,7,Nb-Ni-Ta-O,"{""Nb"": 0.5392618774230442, ""Ni"": 0.3636946619241437, ""Ta"": 0.09704346065281207}",550,1.685001,2.687193,0.008978,0.022534,2.792671
1,8,Ag-Nb-Ni-O,"{""Ag"": 0.3394320950591408, ""Nb"": 0.5338607924508958, ""Ni"": 0.12670711248996333}",0,2.056271,0.955376,0.033798,0.609831,2.792671
1,9,Co-Nb-Zr-O,"{""Co"": 0.10301977022789781, ""Nb"": 0.5230315239269847, ""Zr"": 0.3739487058451175}",550,1.32123,1.107378,0.02777,0.003703,2.792671
1,10,Co-Nb-Zr-O,"{""Co"": 0.41243857811462126, ""Nb"": 0.4920114181691707, ""Zr"": 0.09555000371620806}",550,1.432351,1.323499,0.02765,0.039128,2.792671
1,11,Ag-Ni-Sb-O,"{'Sb': 0.01763, 'Ni': 0.17502, 'Ag': 0.80735}",0,1.135895,0.934167,0.432219,1.277797,2.792671
