llm,repeat,step,material_system,composition,composition_short,anneal_T_C,predicted_overpotential_V,actual_overpotential_V,predicted_molar_change,actual_molar_change,hypervolume,n_remaining
gpt5.4,8,1,Co-Mn-Nb-O,"{""Co"": 0.8214965444681955, ""Mn"": 0.17850345553180458, ""Nb"": 0.0}",Co:0.8215 Mn:0.1785 Nb:0.0000,550,0.79,0.678799,0.06,0.093567,2.008084,2287
gpt5.4,9,1,Co-Mn-Nb-O,"{""Co"": 0.8214965444681955, ""Mn"": 0.17850345553180458, ""Nb"": 0.0}",Co:0.8215 Mn:0.1785 Nb:0.0000,550,0.82,0.678799,0.18,0.093567,2.008084,2287
gpt5.4,1,1,Co-Ni-Pd-O,"{""Co"": 0.7731323498823374, ""Ni"": 0.026477143226447453, ""Pd"": 0.20039050689121515}",Co:0.7731 Ni:0.0265 Pd:0.2004,550,0.74,0.793813,0.12,0.051668,1.74329,2287
gpt5.4,5,1,Co-Mn-Nb-O,"{""Co"": 0.8214965444681955, ""Mn"": 0.17850345553180458, ""Nb"": 0.0}",Co:0.8215 Mn:0.1785 Nb:0.0000,550,0.78,0.678799,0.32,0.093567,2.008084,2287
gpt5.4,4,1,Co-Mn-Nb-O,"{""Co"": 0.8214965444681955, ""Mn"": 0.17850345553180458, ""Nb"": 0.0}",Co:0.8215 Mn:0.1785 Nb:0.0000,550,0.78,0.678799,0.22,0.093567,2.008084,2287
gpt5.4,7,1,Nb-Ni-Ta-O,"{""Nb"": 0.06381943179610468, ""Ni"": 0.8105529831689556, ""Ta"": 0.12562758503493962}",Nb:0.0638 Ni:0.8106 Ta:0.1256,550,0.79,0.713069,0.12,0.849084,1.784808,2287
gpt5.4,10,1,Nb-Ni-Ta-O,"{""Nb"": 0.06381943179610468, ""Ni"": 0.8105529831689556, ""Ta"": 0.12562758503493962}",Nb:0.0638 Ni:0.8106 Ta:0.1256,550,0.79,0.713069,0.22,0.849084,1.784808,2287
gpt5.4,6,1,Nb-Ni-Ta-O,"{""Nb"": 0.32451653733201774, ""Ni"": 0.5729128494422671, ""Ta"": 0.10257061322571522}",Nb:0.3245 Ni:0.5729 Ta:0.1026,550,0.86,1.424418,0.03,0.070842,1.74329,2287
gpt5.4,3,1,Co-Mn-Nb-O,"{""Co"": 0.8214965444681955, ""Mn"": 0.17850345553180458, ""Nb"": 0.0}",Co:0.8215 Mn:0.1785 Nb:0.0000,550,0.78,0.678799,0.18,0.093567,2.008084,2287
gpt5.4,2,1,Co-Mn-Nb-O,"{""Co"": 0.8214965444681955, ""Mn"": 0.17850345553180458, ""Nb"": 0.0}",Co:0.8215 Mn:0.1785 Nb:0.0000,550,0.76,0.678799,0.22,0.093567,2.008084,2287
gpt5.4,8,2,Co-Mn-Nb-O,"{""Co"": 0.8153016459586394, ""Mn"": 0.14242445249418428, ""Nb"": 0.042273901547176404}",Co:0.8153 Mn:0.1424 Nb:0.0423,400,0.695,0.660113,0.085,0.140637,2.121921,2286
gpt5.4,9,2,Co-Mn-Nb-O,"{""Co"": 0.8153016459586394, ""Mn"": 0.14242445249418428, ""Nb"": 0.042273901547176404}",Co:0.8153 Mn:0.1424 Nb:0.0423,400,0.74,0.660113,0.11,0.140637,2.121921,2286
gpt5.4,4,2,Co-Mn-Nb-O,"{""Co"": 0.8153016459586394, ""Mn"": 0.14242445249418428, ""Nb"": 0.042273901547176404}",Co:0.8153 Mn:0.1424 Nb:0.0423,400,0.71,0.660113,0.12,0.140637,2.121921,2286
gpt5.4,3,2,Co-Mn-Nb-O,"{""Co"": 0.8153016459586394, ""Mn"": 0.14242445249418428, ""Nb"": 0.042273901547176404}",Co:0.8153 Mn:0.1424 Nb:0.0423,400,0.7,0.660113,0.11,0.140637,2.121921,2286
gpt5.4,7,2,Nb-Ni-Ta-O,"{""Nb"": 0.08085147405600751, ""Ni"": 0.7443991734241601, ""Ta"": 0.17474935251983248}",Nb:0.0809 Ni:0.7444 Ta:0.1747,550,0.742,0.731271,0.62,0.410487,1.784808,2286
gpt5.4,2,2,Co-Mn-Nb-O,"{""Co"": 0.8153016459586394, ""Mn"": 0.14242445249418428, ""Nb"": 0.042273901547176404}",Co:0.8153 Mn:0.1424 Nb:0.0423,400,0.71,0.660113,0.085,0.140637,2.121921,2286
gpt5.4,1,2,Co-Ni-Pd-O,"{""Co"": 0.7959463249995298, ""Ni"": 0.02649227314188942, ""Pd"": 0.1775614018585808}",Co:0.7959 Ni:0.0265 Pd:0.1776,550,0.775,0.790364,0.048,0.052509,1.74329,2286
gpt5.4,5,2,Co-Mn-Nb-O,"{""Co"": 0.49411090682876185, ""Mn"": 0.44821995730356295, ""Nb"": 0.057669135867675185}",Co:0.4941 Mn:0.4482 Nb:0.0577,550,0.71,0.841119,0.085,0.023619,2.008084,2286
gpt5.4,6,2,Nb-Ni-Ta-O,"{""Nb"": 0.06381943179610468, ""Ni"": 0.8105529831689556, ""Ta"": 0.12562758503493962}",Nb:0.0638 Ni:0.8106 Ta:0.1256,550,0.82,0.713069,0.18,0.849084,1.784808,2286
