repeat,step,material_system,composition,anneal_T_C,actual_overpotential_V,actual_molar_change,hypervolume,n_remaining
1,1,Ge-In-Zr-O,"{""Ge"": 0.5072612489463724, ""In"": 0.17343936053771783, ""Zr"": 0.3192993905159098}",550,1.067717,0.277571,1.74329,2287
1,2,Co-Ni-Pd-O,"{""Co"": 0.840226439001322, ""Ni"": 0.010896857931401585, ""Pd"": 0.1488767030672764}",0,0.589133,0.379215,2.513906,2286
1,3,Bi-Co-Mo-O,"{'Bi': 0.19797, 'Mo': 0.11217, 'Co': 0.68985}",550,0.608264,0.369926,2.514951,2285
1,4,Mn-Nb-Sb-O,"{""Mn"": 0.15453363653774718, ""Nb"": 0.8381715987443394, ""Sb"": 0.0072947647179132935}",0,1.560242,0.050813,2.514951,2284
1,5,Al-Cu-Mo-O,"{'Al': 0.13294, 'Cu': 0.53058, 'Mo': 0.33648}",550,1.003899,0.21104,2.514951,2283
1,6,Al-Ni-Ti-O,"{'Ni': 0.14177, 'Al': 0.35122, 'Ti': 0.50701}",550,1.052633,0.0571,2.514951,2282
1,7,Co-Ni-Zr-O,"{""Co"": 0.32851590249346496, ""Ni"": 0.5178860042379027, ""Zr"": 0.15359809326863239}",550,0.67677,0.311181,2.518214,2281
1,8,Co-Mn-Sn-O,"{""Co"": 0.16173828038016613, ""Mn"": 0.8382617196198339, ""Sn"": 0.0}",0,0.696149,0.27676,2.519999,2280
1,9,Al-Bi-Co-O,"{'Al': 0.02324, 'Co': 0.91523, 'Bi': 0.06152}",700,10.661832,-0.002967,2.519999,2279
1,10,In-Mn-Pd-O,"{""In"": 0.11262280234658081, ""Mn"": 0.4597804111391463, ""Pd"": 0.42759678651427285}",550,0.558834,0.096854,2.743946,2278
1,11,Co-Sb-Zr-O,"{""Co"": 0.058990184681451445, ""Sb"": 0.008531209007738575, ""Zr"": 0.9324786063108099}",550,1.521607,-0.022764,2.743946,2277
1,12,Co-In-Si-O,"{""Co"": 0.5408359955497412, ""In"": 0.45916400445025896}",550,6.727427,0.009152,2.743946,2276
1,13,Ag-Ge-Hf-O,"{""Ag"": 0.5587704343720684, ""Ge"": 0.2622599320344819, ""Hf"": 0.1789696335934497}",0,1.014928,0.450868,2.743946,2275
1,14,Co-Ni-Zr-O,"{""Co"": 0.11154674777025908, ""Ni"": 0.09362200458354757, ""Zr"": 0.7948312476461933}",550,0.990612,0.071299,2.743946,2274
1,15,Al-Bi-Co-O,"{'Al': 0.24956, 'Co': 0.15581, 'Bi': 0.59463}",550,10.703215,-0.036752,2.743946,2273
1,16,Co-In-Si-O,"{""Co"": 0.7393988712456442, ""In"": 0.26060112875435576}",0,6.657004,0.007463,2.743946,2272
1,17,Co-Mn-W-O,"{'Co': 0.04509209214821983, 'W': 0.9373473630171487, 'Mn': 0.017560544834631448}",550,1.156979,-0.066078,2.743946,2271
