repeat,step,material_system,composition,anneal_T_C,predicted_overpotential_V,actual_overpotential_V,predicted_material_loss_umol,actual_material_loss_umol,hypervolume,best_objective
1,1,Co-Mn-Nb-O,"{""Co"": 0.47354753643369135, ""Mn"": 0.29874012749559603, ""Nb"": 0.22771233607071256}",400,0.803566,0.811903,0.214704,0.098778,1.74329,
1,2,Mn-Nb-Zn-O,"{'Mn': 0.12448971923321082, 'Nb': 0.720808299209908, 'Zn': 0.1547019815568811}",550,0.934166,0.949239,0.017411,0.006595,1.74329,
1,3,Co-Mo-Pd-O,"{""Co"": 0.10376979236107119, ""Mo"": 0.08462846934591049, ""Pd"": 0.8116017382930183}",550,0.799528,0.649778,0.187724,0.040015,2.191646,
1,4,Co-Mo-Pd-O,"{""Co"": 0.27725537865851374, ""Mo"": 0.21107325182634606, ""Pd"": 0.5116713695151401}",550,0.799869,0.640417,0.124798,0.222595,2.247907,
1,5,Co-In-Si-O,"{""Co"": 0.1668991932334837, ""In"": 0.8331008067665162}",550,0.77995,1.0,0.076903,0.25492,2.247907,
1,6,Mn-Ni-Pd-O,"{""Mn"": 0.38750364222850053, ""Ni"": 0.07579934661891238, ""Pd"": 0.5366970111525872}",550,0.738874,0.530295,0.121727,0.192224,2.913395,
1,7,Mn-Ni-Pd-O,"{""Mn"": 0.1752831215306652, ""Ni"": 0.10309654155485569, ""Pd"": 0.721620336914479}",550,0.664578,0.560114,0.135723,0.142551,2.917849,
1,8,Mn-Pd-Zn-O,"{""Mn"": 0.08702318299044716, ""Pd"": 0.2757330039596668, ""Zn"": 0.6372438130498861}",550,0.610628,0.620231,0.162011,0.632564,2.917849,
1,9,In-Mn-Pd-O,"{""In"": 0.11262280234658081, ""Mn"": 0.4597804111391463, ""Pd"": 0.42759678651427285}",550,0.592251,0.558834,0.225655,0.096854,2.922068,
1,10,In-Mn-Pd-O,"{""In"": 0.33966068986042264, ""Mn"": 0.4275171395213902, ""Pd"": 0.23282217061818725}",550,0.617242,0.673662,0.24582,0.098734,2.922068,
