seed,step
0,6
1,5
2,8
3,4
4,11
5,9
6,2
7,9
8,9
9,2
10,10
11,3
12,15
13,6
14,5
15,6
16,2
17,2
18,15
19,3
20,5
21,8
22,4
23,3
24,7
25,6
26,9
27,8
28,11
29,8
30,5
31,5
32,1
33,1
34,2
35,6
36,4
37,8
38,6
39,2
40,1
41,3
42,4
43,4
44,2
45,8
46,4
47,6
48,8
49,1
50,8
51,4
52,5
53,2
54,4
55,2
56,6
57,1
58,2
59,11
60,4
61,6
62,18
63,3
64,6
65,5
66,1
67,8
68,9
69,6
70,6
71,3
72,3
73,9
74,3
75,2
76,3
77,6
78,6
79,5
80,2
81,9
82,5
83,3
84,2
85,9
86,6
87,10
88,10
89,3
90,3
91,1
92,5
93,3
94,8
95,9
96,3
97,2
98,2
99,3
100,9
101,10
102,12
103,3
104,1
105,1
106,2
107,5
108,1
109,15
110,4
111,8
112,10
113,7
114,3
115,2
116,6
117,6
118,6
119,2
120,11
121,8
122,6
123,11
124,5
125,9
126,9
127,4
128,4
129,9
130,1
131,10
132,4
133,3
134,6
135,3
136,3
137,21
138,2
139,8
140,5
141,2
142,7
143,5
144,7
145,2
146,1
147,4
148,6
149,9
150,4
151,1
152,1
153,2
154,4
155,8
156,1
157,12
158,7
159,1
160,6
161,6
162,6
163,8
164,3
165,5
166,1
167,5
168,5
169,3
170,2
171,1
172,6
173,9
174,7
175,6
176,5
177,2
178,1
179,8
180,2
181,7
182,1
183,2
184,2
185,3
186,3
187,8
188,8
189,7
190,5
191,2
192,4
193,16
194,1
195,8
196,9
197,3
198,7
199,5
200,10
201,1
202,6
203,3
204,8
205,3
206,6
207,11
208,6
209,3
210,1
211,6
212,2
213,12
214,15
215,4
216,1
217,2
218,6
219,14
220,8
221,2
222,1
223,14
224,4
225,6
226,9
227,3
228,2
229,12
230,3
231,6
232,7
233,2
234,2
235,9
236,6
237,1
238,3
239,2
240,1
241,2
242,4
243,2
244,3
245,5
246,4
247,6
248,5
249,4
250,9
251,1
252,1
253,8
254,18
255,5
256,7
257,4
258,6
259,6
260,3
261,2
262,4
263,2
264,2
265,5
266,8
267,4
268,7
269,4
270,1
271,1
272,2
273,10
274,4
275,3
276,8
277,6
278,10
279,1
280,6
281,2
282,3
283,2
284,1
285,8
286,11
287,8
288,7
289,1
290,4
291,2
292,2
293,1
294,3
295,5
296,10
297,5
298,5
299,1
300,3
301,7
302,7
303,2
304,10
305,8
306,1
307,6
308,1
309,5
310,5
311,6
312,8
313,9
