seed,step
0,3
1,7
2,10
3,12
4,11
5,6
6,10
7,1
8,3
9,1
10,1
11,20
12,3
13,36
14,14
15,3
16,5
17,15
18,15
19,22
20,4
21,34
22,3
23,6
24,1
25,19
26,28
27,2
28,21
29,2
30,12
31,2
32,17
33,20
34,18
35,3
36,25
37,9
38,7
39,3
40,12
41,9
42,2
43,6
44,3
45,19
46,4
47,9
48,10
49,1
50,1
51,23
52,1
53,17
54,3
55,18
56,4
57,6
58,18
59,5
60,6
61,2
62,7
63,8
64,6
65,6
66,27
67,15
68,1
69,22
70,2
71,1
72,4
73,6
74,4
75,7
76,8
77,2
78,1
79,8
80,12
81,26
82,20
83,10
84,17
85,7
86,7
87,18
88,1
89,3
90,9
91,10
92,3
93,18
94,6
95,3
96,1
97,12
98,14
99,8
100,4
101,6
102,12
103,2
104,4
105,2
106,13
107,6
108,8
109,3
110,2
111,5
112,6
113,4
114,1
115,6
116,2
117,14
118,4
119,12
120,3
121,2
122,3
123,24
124,9
125,5
126,1
127,5
128,6
129,1
130,2
131,3
132,9
133,6
134,5
135,1
136,1
137,14
138,1
139,6
140,3
141,10
142,18
143,12
144,3
145,13
146,22
147,20
148,1
149,7
150,3
151,22
152,2
153,7
154,4
155,7
156,5
157,8
158,8
159,2
160,19
161,14
162,4
163,10
164,26
165,1
166,5
167,3
168,2
169,12
170,2
171,3
172,7
173,1
174,16
175,6
176,9
177,5
178,1
179,2
180,17
181,8
182,2
183,5
184,16
185,16
186,7
187,2
188,1
189,10
190,14
191,1
192,1
193,30
194,1
195,2
196,5
197,3
198,21
199,5
200,8
201,1
202,5
203,16
204,2
205,10
206,4
207,2
208,22
209,1
210,3
211,1
212,8
213,4
214,7
215,15
216,1
217,2
218,1
219,6
220,7
221,35
222,25
223,3
224,6
225,15
226,4
227,6
228,4
229,11
230,23
231,13
232,17
233,1
234,11
235,23
236,9
237,8
238,5
239,6
240,1
241,6
242,3
243,6
244,2
245,21
246,11
247,8
248,2
249,2
250,13
251,7
252,9
253,4
254,3
255,2
256,3
257,13
258,8
259,5
260,15
261,7
262,1
263,6
264,2
265,6
266,3
267,2
268,6
269,18
270,14
271,2
272,9
273,9
274,5
275,4
276,3
277,4
278,7
279,30
280,7
281,18
282,2
283,4
284,5
285,15
286,1
287,4
288,10
289,13
290,10
291,15
292,9
293,4
294,3
295,24
296,7
297,4
298,3
299,2
300,8
301,4
302,6
303,12
304,1
305,15
306,6
307,2
308,8
309,7
310,13
311,2
312,3
313,4
314,6
315,5
316,1
317,5
318,3
319,8
320,9
321,12
322,4
323,3
324,2
325,4
326,7
327,1
328,2
329,6
330,15
331,8
332,20
333,14
334,3
335,20
336,1
337,7
338,11
339,7
340,2
341,2
342,3
343,1
344,6
345,13
346,1
347,2
348,1
349,5
350,2
351,4
352,12
353,1
354,11
355,4
356,15
357,1
358,6
359,1
360,5
361,1
362,4
363,7
364,1
365,1
366,4
367,20
368,3
369,2
370,3
371,9
372,9
373,4
374,12
375,8
376,11
377,27
378,1
379,1
380,2
381,6
382,5
383,1
384,7
385,1
386,5
387,18
388,7
389,7
390,6
391,8
392,11
393,16
394,7
395,3
396,3
397,8
398,1
399,1
400,11
401,28
402,37
403,19
404,3
405,5
406,9
407,4
408,33
409,4
410,2
411,3
412,3
413,2
414,6
415,23
416,6
417,2
418,8
419,4
420,3
421,5
422,13
423,6
424,3
425,2
426,3
427,15
428,2
429,2
430,5
431,9
432,2
433,15
434,4
435,5
436,6
437,12
438,4
439,8
440,6
441,2
442,4
443,7
444,2
445,13
446,7
447,1
448,2
449,5
450,2
451,7
452,9
453,13
454,3
455,1
456,1
457,7
458,1
459,2
460,7
461,7
462,1
463,1
464,7
465,13
466,5
467,1
468,2
469,5
470,1
471,12
472,28
473,18
474,5
475,2
476,9
477,3
478,5
479,21
480,13
481,16
482,16
483,7
484,6
485,3
486,15
487,27
488,6
489,5
490,2
491,5
492,10
493,2
494,4
495,14
496,21
497,32
498,9
499,16
500,1
501,1
502,7
503,23
504,7
505,2
506,26
507,6
508,10
509,2
510,5
511,21
512,2
513,19
514,13
515,4
516,7
517,8
518,1
519,2
520,5
521,4
522,4
523,10
524,4
525,7
526,7
527,21
528,8
529,3
530,14
531,8
532,16
533,1
534,7
535,3
536,18
537,20
538,9
539,15
540,5
541,6
542,9
543,3
544,1
545,14
546,4
547,11
548,17
549,6
550,12
551,4
552,5
553,3
554,1
555,3
556,2
557,12
558,17
559,2
560,21
561,1
562,2
563,12
564,6
565,8
566,10
567,8
568,4
569,8
570,18
571,4
572,19
573,1
574,18
575,15
576,31
577,14
578,1
579,14
580,12
581,4
582,5
583,14
584,2
585,2
586,2
587,3
588,3
589,4
590,4
591,8
592,11
593,16
594,13
595,33
596,12
597,1
598,22
599,10
600,11
601,11
602,1
603,4
604,16
605,13
606,5
607,2
608,5
609,4
610,35
611,19
612,4
613,3
614,7
615,7
616,18
617,2
618,17
619,17
620,17
621,3
622,3
