seed,step
0,7
1,3
2,3
3,7
4,3
5,10
6,1
7,5
8,7
9,12
10,8
11,5
12,3
13,5
14,24
15,8
16,7
17,15
18,1
19,5
20,5
21,10
22,4
23,4
24,4
25,13
26,17
27,12
28,14
29,11
30,19
31,18
32,1
33,2
34,1
35,15
36,3
37,4
38,8
39,8
40,10
41,5
42,1
43,5
44,3
45,5
46,6
47,15
48,3
49,2
50,7
51,4
52,11
53,2
54,9
55,20
56,8
57,9
58,2
59,16
60,7
61,14
62,5
63,5
64,21
65,8
66,22
67,3
68,1
69,3
70,2
71,1
72,1
73,23
74,4
75,22
76,26
77,5
78,1
79,8
80,4
81,18
82,3
83,4
84,7
85,7
86,1
87,3
88,2
89,3
90,6
91,6
92,13
93,13
94,1
95,11
96,12
97,5
98,17
99,10
100,12
101,4
102,1
103,21
104,20
105,2
106,7
107,22
108,1
109,1
110,12
111,12
112,20
113,4
114,5
115,1
116,4
117,23
118,6
119,1
120,19
121,12
122,2
123,1
124,3
125,1
126,8
127,37
128,19
129,17
130,2
131,21
132,4
133,5
134,18
135,15
136,4
137,1
138,3
139,1
140,6
141,29
142,3
143,8
144,2
145,10
146,6
147,7
148,3
149,1
150,3
151,4
152,1
153,9
154,6
155,4
156,4
157,8
158,22
159,8
160,1
161,14
162,5
163,1
164,1
165,4
166,28
167,7
168,9
169,12
170,10
171,2
172,8
173,9
174,16
175,6
176,12
177,6
178,11
179,10
180,8
181,2
182,16
183,27
184,10
185,25
186,4
187,9
188,19
189,2
190,5
191,27
192,3
193,1
194,8
195,4
196,8
197,8
198,17
199,2
200,15
201,10
202,4
203,5
204,3
205,7
206,9
207,2
208,6
209,4
210,2
211,9
212,12
213,13
214,29
215,9
216,2
217,1
218,16
219,1
220,1
221,11
222,5
223,11
224,2
225,2
226,9
227,9
228,2
229,7
230,7
231,9
232,10
233,6
234,4
235,4
236,6
237,10
238,6
239,7
240,5
241,4
242,11
243,4
244,5
245,19
246,9
247,10
248,2
249,1
250,11
251,8
252,1
253,7
254,2
255,10
256,1
257,1
258,11
259,16
260,21
261,4
262,7
263,28
264,1
265,4
266,14
267,23
268,7
269,4
270,29
271,14
272,15
273,12
274,10
275,7
276,16
277,11
278,7
279,5
280,30
281,2
282,10
283,1
284,1
285,3
286,7
287,16
288,2
289,7
290,4
291,8
292,5
293,20
294,8
295,10
296,5
297,1
298,51
299,11
300,4
301,4
302,11
303,2
304,10
305,6
306,1
307,4
308,11
309,12
310,2
311,23
312,12
313,19
314,3
315,1
316,2
317,1
318,1
319,4
320,5
321,1
322,2
323,12
324,8
325,9
326,2
327,7
328,7
329,11
330,7
331,5
332,8
333,10
334,2
335,18
336,1
337,1
338,4
339,8
340,9
341,2
342,2
343,1
344,4
345,24
346,35
347,3
348,2
349,8
350,2
351,2
352,19
353,6
354,5
355,3
356,3
357,5
358,21
359,2
360,5
361,1
362,6
363,51
364,27
365,10
366,19
367,1
368,2
369,19
370,27
371,9
372,4
373,2
374,1
375,7
376,10
377,17
378,3
379,9
380,4
381,3
382,7
383,8
384,3
385,26
386,4
387,1
388,10
389,4
390,1
391,4
392,14
393,10
394,4
395,2
396,1
397,4
398,1
399,3
400,2
401,30
402,22
403,1
404,1
405,5
406,3
407,36
408,4
409,1
410,10
411,2
412,14
413,1
414,2
415,14
416,5
417,16
418,13
419,9
420,5
421,4
422,26
423,6
424,2
425,5
426,2
427,6
428,1
429,1
430,5
431,7
432,2
433,16
434,20
435,20
436,5
437,1
438,3
439,4
440,9
441,11
442,3
443,3
444,20
445,6
446,1
447,10
448,3
449,6
450,6
451,9
452,17
453,12
454,6
455,39
456,20
457,2
458,11
459,11
460,6
461,26
462,11
463,4
464,15
465,5
466,4
467,12
468,27
469,3
470,2
471,27
472,1
473,1
474,32
475,5
476,35
477,1
478,2
479,16
480,14
481,12
482,5
483,2
484,10
485,3
486,1
487,10
488,1
489,24
490,7
491,8
492,10
493,10
494,1
495,2
496,10
497,4
498,5
499,6
500,16
501,11
502,4
503,4
504,5
505,7
506,19
507,6
508,8
509,1
510,1
511,4
512,1
513,1
514,1
515,2
516,5
517,11
518,12
519,8
520,5
521,7
522,1
523,5
524,5
525,2
526,15
527,46
528,1
529,7
530,10
531,7
532,8
533,4
534,32
535,8
536,3
537,1
538,5
539,2
540,1
541,8
542,4
543,1
544,1
545,4
546,5
547,6
548,15
549,4
550,8
551,12
552,26
553,13
554,4
555,39
556,2
557,5
558,5
559,14
560,6
561,6
562,9
563,17
564,7
565,4
566,1
567,8
568,16
569,2
570,7
571,32
572,5
573,13
574,1
575,8
576,8
577,8
578,2
579,10
580,12
581,4
582,16
583,6
584,3
585,11
586,14
587,1
588,7
589,1
590,1
591,1
592,12
593,3
594,5
595,4
596,3
