composition,target_elements,anneal_T,overpotential_cp1_600s_mean,xrf_total_molar_change
"{'Ni': 0.77287, 'Sn': 0.07151, 'Nb': 0.15562}","['Nb', 'Ni', 'Sn']",700.0,0.7595295042037962,0.5159713130262176
"{'Ni': 0.82289, 'Sn': 0.06073, 'Nb': 0.11639}","['Nb', 'Ni', 'Sn']",700.0,0.755875064754486,0.594148359723292
"{'Ni': 0.81771, 'Sn': 0.05314, 'Nb': 0.12915}","['Nb', 'Ni', 'Sn']",700.0,0.7466391033172606,0.6721041327058652
"{'Ni': 0.86177, 'Sn': 0.05098, 'Nb': 0.08725}","['Nb', 'Ni', 'Sn']",700.0,0.7409576171874999,0.8489134976524924
"{'Ni': 0.88816, 'Sn': 0.04714, 'Nb': 0.0647}","['Nb', 'Ni', 'Sn']",700.0,0.7464964074134826,0.9321350951940357
"{'Ni': 0.8556, 'Sn': 0.05621, 'Nb': 0.0882}","['Nb', 'Ni', 'Sn']",700.0,0.7405516308784483,0.8111008371951899
"{'Ni': 0.73021, 'Sn': 0.08036, 'Nb': 0.18944}","['Nb', 'Ni', 'Sn']",700.0,0.7671159380912779,0.3567374742368531
"{'Ni': 0.70065, 'Sn': 0.09309, 'Nb': 0.20626}","['Nb', 'Ni', 'Sn']",700.0,0.7749486845970153,0.3318537485193463
"{'Ni': 0.75069, 'Sn': 0.08548, 'Nb': 0.16383}","['Nb', 'Ni', 'Sn']",700.0,0.7595395630836486,0.40387262699957993
"{'Ni': 0.73797, 'Sn': 0.12527, 'Nb': 0.13676}","['Nb', 'Ni', 'Sn']",700.0,0.7565894359588622,0.393587576641469
"{'Ni': 0.68638, 'Sn': 0.16185, 'Nb': 0.15177}","['Nb', 'Ni', 'Sn']",700.0,0.7693292111396788,0.3314274082481879
"{'Ni': 0.70549, 'Sn': 0.15385, 'Nb': 0.14066}","['Nb', 'Ni', 'Sn']",700.0,0.7622489208221433,0.3763187502337977
"{'Ni': 0.60719, 'Sn': 0.15327, 'Nb': 0.23954}","['Nb', 'Ni', 'Sn']",700.0,0.8247694009780884,0.2430262462396856
"{'Ni': 0.66578, 'Sn': 0.14402, 'Nb': 0.1902}","['Nb', 'Ni', 'Sn']",700.0,0.7928606909751891,0.2301472291671188
"{'Ni': 0.61227, 'Sn': 0.17958, 'Nb': 0.20815}","['Nb', 'Ni', 'Sn']",700.0,0.8223036521911621,0.20853087775074425
"{'Ni': 0.57673, 'Sn': 0.3081, 'Nb': 0.11517}","['Nb', 'Ni', 'Sn']",700.0,0.8631119889259338,0.06428739398714267
"{'Ni': 0.61117, 'Sn': 0.28918, 'Nb': 0.09964}","['Nb', 'Ni', 'Sn']",700.0,0.8676679629325866,0.19345097997510952
"{'Ni': 0.95348, 'Sn': 0.01055, 'Nb': 0.03596}","['Nb', 'Ni', 'Sn']",550.0,0.7409425750732421,0.8278644667464067
"{'Ni': 0.96384, 'Sn': 0.00959, 'Nb': 0.02656}","['Nb', 'Ni', 'Sn']",550.0,0.7517620221138,1.0037769782361898
"{'Ni': 0.95455, 'Sn': 0.01159, 'Nb': 0.03385}","['Nb', 'Ni', 'Sn']",550.0,0.7454996744155884,0.9310097846577544
"{'Ni': 0.96391, 'Sn': 0.0242, 'Nb': 0.01189}","['Nb', 'Ni', 'Sn']",550.0,0.7627003851890564,0.7831767463271425
"{'Ni': 0.97245, 'Sn': 0.02272, 'Nb': 0.00484}","['Nb', 'Ni', 'Sn']",550.0,0.7749533263206482,0.7529629117948142
"{'Ni': 0.95882, 'Sn': 0.03017, 'Nb': 0.01101}","['Nb', 'Ni', 'Sn']",550.0,0.768191613292694,0.6033804411216581
"{'Ni': 0.80361, 'Sn': 0.01905, 'Nb': 0.17734}","['Nb', 'Ni', 'Sn']",550.0,0.7415440050125122,0.3315445326044557
"{'Ni': 0.79091, 'Sn': 0.02172, 'Nb': 0.18737}","['Nb', 'Ni', 'Sn']",550.0,0.7516943326950073,0.2814785889025231
"{'Ni': 0.86092, 'Sn': 0.01924, 'Nb': 0.11984}","['Nb', 'Ni', 'Sn']",550.0,0.7257791868209839,0.4928777674719026
"{'Ni': 0.90945, 'Sn': 0.03597, 'Nb': 0.05458}","['Nb', 'Ni', 'Sn']",550.0,0.7207807079315185,0.34031389079924457
"{'Ni': 0.88762, 'Sn': 0.04792, 'Nb': 0.06445}","['Nb', 'Ni', 'Sn']",550.0,0.7311586585998535,0.45408498606681025
"{'Ni': 0.91009, 'Sn': 0.04476, 'Nb': 0.04515}","['Nb', 'Ni', 'Sn']",550.0,0.7323403326034545,0.5403581591864135
"{'Ni': 0.88432, 'Sn': 0.10396, 'Nb': 0.01172}","['Nb', 'Ni', 'Sn']",550.0,0.7748066893577575,0.43647173577304865
"{'Ni': 0.81236, 'Sn': 0.16431, 'Nb': 0.02333}","['Nb', 'Ni', 'Sn']",550.0,0.8222389808654785,0.3915600968147509
"{'Ni': 0.85147, 'Sn': 0.14393, 'Nb': 0.0046}","['Nb', 'Ni', 'Sn']",550.0,0.811635240650177,0.3736808700650072
"{'Ni': 0.69996, 'Sn': 0.04445, 'Nb': 0.25558}","['Nb', 'Ni', 'Sn']",550.0,0.7716622010231018,0.24742555726751492
"{'Ni': 0.79248, 'Sn': 0.04063, 'Nb': 0.16688}","['Nb', 'Ni', 'Sn']",550.0,0.7439859310150146,0.3301770932088383
"{'Ni': 0.74401, 'Sn': 0.05808, 'Nb': 0.19791}","['Nb', 'Ni', 'Sn']",550.0,0.7452204719543457,0.2948635716158883
"{'Ni': 0.82306, 'Sn': 0.12107, 'Nb': 0.05586}","['Nb', 'Ni', 'Sn']",550.0,0.7555863801002503,0.3709011127905426
"{'Ni': 0.76051, 'Sn': 0.18611, 'Nb': 0.05338}","['Nb', 'Ni', 'Sn']",550.0,0.7696307841300964,0.2978854786829846
"{'Mn': 0.35653, 'Sb': 0.64347}","['Mn', 'Sb']",550.0,0.787372749328613,0.008850103272187312
"{'Mn': 0.96766, 'Sb': 0.03234}","['Mn', 'Sb']",700.0,0.6875308227539062,0.15770065790226656
"{'Mn': 0.98651, 'Sb': 0.01349}","['Mn', 'Sb']",700.0,0.698415060043335,0.21495223140118766
"{'Mn': 0.98762, 'Sb': 0.01238}","['Mn', 'Sb']",700.0,0.6431796669960022,0.26461799656079904
"{'Sb': 0.06994, 'Mn': 0.93006}","['Mn', 'Sb']",700.0,0.7806036686897277,0.018292339381974054
"{'Mn': 0.96766, 'Sb': 0.03234}","['Mn', 'Sb']",700.0,0.6563146781921386,0.08728516209608983
"{'Mn': 0.96376, 'Sb': 0.03624}","['Mn', 'Sb']",700.0,0.7117873096466064,0.0928557683692389
"{'Mn': 0.96982, 'Sb': 0.03018}","['Mn', 'Sb']",700.0,0.6607221913337707,0.14820029864590648
"{'Mn': 0.98294, 'Sb': 0.01706}","['Mn', 'Sb']",700.0,0.7331197714805603,0.06690595536154784
"{'Mn': 0.97897, 'Sb': 0.02103}","['Mn', 'Sb']",700.0,0.6951775932312012,0.13926706000057643
"{'Mn': 0.98076, 'Sb': 0.01924}","['Mn', 'Sb']",700.0,0.7105140614509583,0.14277697720932747
"{'Mn': 0.85212, 'Sb': 0.14788}","['Mn', 'Sb']",700.0,0.7661786961555481,0.08523715081237435
"{'Mn': 0.89863, 'Sb': 0.10137}","['Mn', 'Sb']",700.0,0.787732195854187,0.09089425081451949
"{'Mn': 0.8926, 'Sb': 0.1074}","['Mn', 'Sb']",700.0,0.7737022113800048,0.08789427076809592
"{'Mn': 0.95226, 'Sb': 0.04774}","['Mn', 'Sb']",700.0,0.7929098963737488,0.08332371868147227
"{'Mn': 0.9588, 'Sb': 0.0412}","['Mn', 'Sb']",700.0,0.7219981193542481,0.09292681758652713
"{'Mn': 0.94959, 'Sb': 0.05041}","['Mn', 'Sb']",700.0,0.8035928869247436,0.0764655665897456
"{'Mn': 0.96878, 'Sb': 0.03122}","['Mn', 'Sb']",700.0,0.8221669125556946,0.03085381968958642
"{'Mn': 0.96878, 'Sb': 0.03122}","['Mn', 'Sb']",700.0,0.8768434381484985,0.054868501188639035
"{'Sb': 0.04774, 'Mn': 0.95226}","['Mn', 'Sb']",700.0,0.8249569940567016,0.04802685646668467
"{'Sb': 0.06055, 'Mn': 0.93945}","['Mn', 'Sb']",700.0,0.8489867210388183,0.0361010941391247
"{'Mn': 0.68909, 'Sb': 0.31091}","['Mn', 'Sb']",700.0,0.7944208860397339,0.024319779009622844
"{'Mn': 0.81593, 'Sb': 0.18407}","['Mn', 'Sb']",700.0,0.787554304599762,0.03845783580906825
"{'Sb': 0.69287, 'Mn': 0.30713}","['Mn', 'Sb']",700.0,0.8242382073402404,0.029102103247868855
"{'Sb': 0.47435, 'Mn': 0.52565}","['Mn', 'Sb']",700.0,0.7726301145553589,0.016271490687437343
"{'Sb': 0.23466549351952837, 'Mn': 0.7653345064804716}","['Mn', 'Sb']",700.0,0.7913445377349854,0.0440417471664514
"{'Co': 0.2052, 'Mn': 0.60533, 'Ti': 0.18948}","['Co', 'Mn', 'Ti']",700.0,0.7553569208145141,0.19013069024208867
"{'Co': 0.22785, 'Mn': 0.65994, 'Ti': 0.11221}","['Co', 'Mn', 'Ti']",700.0,0.731044441318512,0.16474365560962048
"{'Co': 0.26776, 'Mn': 0.62235, 'Ti': 0.10989}","['Co', 'Mn', 'Ti']",700.0,0.8831140910148616,0.19093206861634351
"{'Co': 0.41071, 'Mn': 0.44057, 'Ti': 0.14872}","['Co', 'Mn', 'Ti']",700.0,0.8031912623405453,0.13496910315747948
"{'Co': 0.48574, 'Mn': 0.36475, 'Ti': 0.14951}","['Co', 'Mn', 'Ti']",700.0,0.8329329596519466,0.09179604278003342
"{'Co': 0.47341, 'Mn': 0.38088, 'Ti': 0.14571}","['Co', 'Mn', 'Ti']",700.0,0.8093564306259151,0.12221867091307012
"{'Co': 0.35584, 'Mn': 0.29992, 'Ti': 0.34423}","['Co', 'Mn', 'Ti']",700.0,0.8297333370208736,0.03968940066640539
"{'Co': 0.43231, 'Mn': 0.3607, 'Ti': 0.20699}","['Co', 'Mn', 'Ti']",700.0,0.8390494142532344,0.1329107808783768
